id,name,nric,dob,address,phone,email,employment,income,referral_source,area_of_law,status,notes
1048,Elaine Pereira,S4546257D,8-Mar-60,Blk 124 Hougang Ave 8 #08-138,84036943,elaine.pereira@example.com,Part-time,2600,Friend,Employment,Open,Claims constructive dismissal. Wants to know options.
1049,Wei Ming Tan,T2342171C,17-Feb-88,Blk 8 Jurong West St 52 #20-146,85209458,wei.tan@example.com,Retired,about 2k,Walk-in,Wills and probate,Closed,Needs LPA for elderly mother with dementia.
1050,Li Ying Ong,S2209796J,1986-01-06,Blk 661 Tampines St 41 #12-248,81536088,li.ong@example.com,Student,4200,,Tenancy,Closed,"Sub-tenant, main tenant vanished, agent demanding rent."
1051,Hui Ling Lim,T3478399C,7/1/1971,Blk 54 Jurong West St 52 #16-093,86453514,hui.lim@example.com,Self-employed,"$3,200",,Employment,Closed,"Injured at work, no MC paid. Small firm, no HR."
1052,Priya Nair,S1129893B,1964-01-10,Blk 322 Jurong West St 52 #18-136,89360841,priya.nair@example.com,Employed,"$3,200",Family Service Centre,Consumer debt,Open,"Credit card debt, harassment calls to workplace."
1053,Jia Hao Lee,S5675302C,2003-10-05,Blk 467 Bedok Nth Rd #03-002,85036924,jia.lee@example.com,Retired,,MP meet-the-people,Employment,Closed,Salary unpaid for two months. Employer not responding.
1054,Ravi Das,S9344183E,1984-02-08,Blk 346 Jurong West St 52 #08-021,83691241,ravi.das@example.com,Retired,"$1,800",,Tenancy,Closed,"Rental arrears dispute, landlord changed the lock."
1055,Chin Hock Teo,T6036532C,1965-08-07,Blk 609 Clementi Ave 4 #11-242,88501262,chin.teo@example.com,Retired,,Walk-in,Consumer debt,Closed,"Credit card debt, harassment calls to workplace."
1056,Pei Shan Sim,S0454908I,2002-05-17,Blk 666 Hougang Ave 8 #08-138,82734917,pei.sim@example.com,Unemployed,3000,Previous client,Consumer debt,Open,"Credit card debt, harassment calls to workplace."
1057,Xin Yi Yeo,T1654804D,1993-04-16,Blk 155 Bedok Nth Rd #06-017,84498451,xin.yeo@example.com,Unemployed,3800,Previous client,Employment,Closed,"Unpaid overtime, foreign worker, worried about pass status."
1058,Xin Yi Yeo,T2348762D,1988-06-08,Blk 380 Tampines St 41 #08-072,81682673,xin.yeo@example.com,Employed,n/a,MP meet-the-people,Small claims,Closed,"Car workshop overcharged, poor repair."
1059,Wei Ming Tan,S8515341E,1962-07-16,Blk 393 Tampines St 41 #11-255,85694493,wei.tan@example.com,Self-employed,3200,Google,Small claims,Open,"Deposit for wedding photography, vendor closed down."
1060,Hui Ling Lim,S5627948G,1999-01-13,Blk 65 Yishun Ring Rd #10-028,87327957,hui.lim@example.com,Retired,unknown,,Tenancy,Closed,"Aircon and water heater broken 3 months, landlord ignores."
1061,Priya Nair,T9442769E,19/1/1978,Blk 222 Woodlands Dr 50 #04-025,87894694,priya.nair@example.com,Student,2600,Facebook,Employment,Closed,Dismissed after raising a safety complaint. Has messages.
1062,Zhi Hao Koh,S2844757J,1964-10-07,Blk 265 Toa Payoh Lor 1 #09-121,89734117,zhi.koh@example.com,Employed,,Previous client,Tenancy,Open,"Aircon and water heater broken 3 months, landlord ignores."
1063,Vijay Iyer,T4510536I,1967-03-06,Blk 503 Woodlands Dr 50 #20-151,87199556,vijay.iyer@example.com,Retired,4200,,Consumer debt,Closed,"Renovation contractor took deposit, work not done."
1064,Jia Hao Lee,S1114178D,20-Mar-57,Blk 494 Bishan St 12 #13-130,87667024,jia.lee@example.com,Student,n/a,,Tenancy,Closed,"Rental arrears dispute, landlord changed the lock."
1065,Priya Nair,T3929629F,1965-03-07,Blk 686 Dover Rd #09-095,81230106,priya.nair@example.com,Retired,"$1,800",Community centre,Tenancy,Closed,"Rental arrears dispute, landlord changed the lock."
1066,Jia Hao Lee,S0210345C,11-Jul-62,Blk 556 Clementi Ave 4 #07-192,82130444,jia.lee@example.com,Unemployed,2600,Previous client,Tenancy,Closed,"Eviction notice, 1 week given. Family with young children."
1067,Faizal Osman,S8427218G,1986-07-04,Blk 20 Dover Rd #20-292,83409849,faizal.osman@example.com,Unemployed,"$2,500",Previous client,Neighbour disputes,Open,"Shared corridor blocked with items, fire hazard."
1068,Kok Wai Wong,S2104102F,1985-03-26,Blk 419 Clementi Ave 4 #03-213,86895533,kok.wong@example.com,Student,0,,Employment,Closed,Salary unpaid for two months. Employer not responding.
1069,Priya Nair,T9020281Z,1-Jun-72,Blk 318 Telok Blangah Cres #18-239,81175699,priya.nair@example.com,Self-employed,3000,Walk-in,Tenancy,Open,Landlord withholding deposit. Verbal tenancy only.
1070,Aisyah Yusof,T4817664A,1956-01-19,Blk 332 Yishun Ring Rd #13-260,85644356,aisyah.yusof@example.com,Unemployed,"$2,500",MP meet-the-people,Neighbour disputes,Closed,"Shared corridor blocked with items, fire hazard."
1071,Faizal Osman,T5323028G,1998-04-06,Blk 160 Commonwealth Dr #13-180,84059215,faizal.osman@example.com,Retired,3200,Google,Wills and probate,Closed,"Father passed, no will, HDB flat, siblings disagree."
1072,Kok Wai Wong,S2519195E,1985-04-16,Blk 183 Dover Rd #04-200,86406047,kok.wong@example.com,Self-employed,about 2k,Walk-in,Unassigned,Open,Not sure we can help - flag for manager.
1073,Siti Hassan,T6891176C,1981-07-17,Blk 616 Bedok Nth Rd #20-022,89644157,siti.hassan@example.com,Employed,"$2,500",Facebook,Wills and probate,Closed,"Small estate, bank refuses to release without grant."
1074,Kok Wai Wong,T5495378D,,Blk 503 Telok Blangah Cres #09-096,83388267,kok.wong@example.com,Employed,unknown,Community centre,Consumer debt,Open,"Bought faulty phone, shop refuses refund."
1075,Meena Subramaniam,S8063743Z,15-Sep-61,Blk 503 Ang Mo Kio Ave 3 #04-255,81938572,meena.subramaniam@example.com,Student,,MP meet-the-people,Small claims,Closed,"Car workshop overcharged, poor repair."
1076,Kavitha Menon,S5341629E,20/11/1956,Blk 501 Telok Blangah Cres #04-106,89929608,kavitha.menon@example.com,Part-time,2200,Facebook,Neighbour disputes,Closed,Dispute over shared wall renovation.
1077,Wei Ming Tan,S3222970H,,Blk 625 Jurong West St 52 #13-158,84290958,wei.tan@example.com,Employed,,Family Service Centre,Small claims,Open,"Deposit for wedding photography, vendor closed down."
1078,Iskandar Salleh,S1465964D,,Blk 355 Bedok Nth Rd #15-121,89263804,iskandar.salleh@example.com,Student,1500,Walk-in,Wills and probate,Closed,"Executor of aunt's estate, unsure of duties."
1079,Deepa Pillai,S7636937Z,1978-07-11,Blk 452 Toa Payoh Lor 1 #10-150,81212883,deepa.pillai@example.com,Part-time,"$1,800",MP meet-the-people,Small claims,Open,"Online purchase never delivered, seller unreachable."
1080,Priya Nair,S8173150E,19/12/1956,Blk 353 Bishan St 12 #06-241,82217027,priya.nair@example.com,Unemployed,4200,Google,Tenancy,Closed,"Rental arrears dispute, landlord changed the lock."
1081,Anand Rajan,T3810176H,7/10/1988,Blk 147 Bedok Nth Rd #14-050,82401511,anand.rajan@example.com,Employed,2600,Previous client,Unassigned,Open,"Immigration question - out of scope, note for records."
1082,Li Ying Ong,T7205501E,18/9/1981,Blk 114 Woodlands Dr 50 #05-155,89511376,li.ong@example.com,Student,2200,Google,Neighbour disputes,Open,"Smoking at corridor, children asthmatic."
1083,Marcus DCruz,S9670397H,1990-02-15,Blk 107 Woodlands Dr 50 #18-080,83415224,marcus.dcruz@example.com,Student,"$2,500",Walk-in,Consumer debt,Closed,"Guarantor for a friend's loan, friend defaulted."
1084,Xin Yi Yeo,S6248906Z,18/5/1986,Blk 48 Yishun Ring Rd #15-154,82314520,xin.yeo@example.com,Self-employed,1500,Community centre,Tenancy,Closed,"Aircon and water heater broken 3 months, landlord ignores."
1085,Yong Sheng Chua,S9816449F,1969-06-03,Blk 489 Yishun Ring Rd #13-221,86601385,yong.chua@example.com,Retired,2600,,Employment,Open,"Unpaid overtime, foreign worker, worried about pass status."
1086,Wei Ming Tan,T0557388C,2001-01-12,Blk 108 Bishan St 12 #20-183,85132173,wei.tan@example.com,Unemployed,,Google,Tenancy,Closed,"Rental arrears dispute, landlord changed the lock."
1087,Pei Shan Sim,T2718501H,9-Oct-71,Blk 436 Toa Payoh Lor 1 #13-206,82506304,pei.sim@example.com,Unemployed,"$1,800",Friend,Small claims,Open,"Car workshop overcharged, poor repair."
1088,Nurul Ibrahim,S2440706A,,Blk 655 Hougang Ave 8 #02-109,81093602,nurul.ibrahim@example.com,Part-time,3000,Facebook,Wills and probate,Closed,"Father passed, no will, HDB flat, siblings disagree."
1089,Deepa Pillai,T6175115B,2000-02-23,Blk 318 Hougang Ave 8 #19-059,84542500,deepa.pillai@example.com,Employed,4200,,Consumer debt,Closed,"Credit card debt, harassment calls to workplace."
1090,Xin Yi Yeo,T6066377E,17-Jul-99,Blk 108 Bedok Nth Rd #07-300,86437043,xin.yeo@example.com,Self-employed,1800,Family Service Centre,Employment,Open,Claims constructive dismissal. Wants to know options.
1091,Xin Yi Yeo,T9276517G,12/5/1995,Blk 589 Bishan St 12 #10-033,85274909,xin.yeo@example.com,Retired,2200,MP meet-the-people,Small claims,Closed,"Online purchase never delivered, seller unreachable."
1092,Faizal Osman,T6713291F,,Blk 361 Jurong West St 52 #07-283,89224546,faizal.osman@example.com,Unemployed,3800,Previous client,Consumer debt,Open,"Bought faulty phone, shop refuses refund."
1093,Aisyah Yusof,S3895123A,1965-06-23,Blk 112 Woodlands Dr 50 #11-136,82852658,aisyah.yusof@example.com,Self-employed,1800,Community centre,Tenancy,Open,"Sub-tenant, main tenant vanished, agent demanding rent."
1094,Shu Fen Ng,S4714044B,6-Jul-64,Blk 558 Commonwealth Dr #04-279,83730802,shu.ng@example.com,Student,unknown,,Tenancy,Open,"Rental arrears dispute, landlord changed the lock."
1095,Iskandar Salleh,T5384953Z,,Blk 673 Hougang Ave 8 #04-155,81044865,iskandar.salleh@example.com,Employed,,,Small claims,Closed,"Car workshop overcharged, poor repair."
1096,Siti Hassan,S2069288I,1982-09-22,Blk 540 Hougang Ave 8 #13-256,84313776,siti.hassan@example.com,Part-time,1800,,Tenancy,Open,"Aircon and water heater broken 3 months, landlord ignores."
1097,Yong Sheng Chua,S4453428I,20/1/1982,Blk 605 Toa Payoh Lor 1 #20-162,83844103,yong.chua@example.com,Employed,~3000,Google,Employment,Open,Dismissed after raising a safety complaint. Has messages.
1098,Wei Ming Tan,S2298910F,13-Apr-59,Blk 418 Tampines St 41 #12-113,86817302,wei.tan@example.com,Retired,2200,,Wills and probate,Open,"Executor of aunt's estate, unsure of duties."
1099,Siti Hassan,T3623234C,26-Apr-85,Blk 190 Ang Mo Kio Ave 3 #10-268,85276984,siti.hassan@example.com,Student,,,Consumer debt,Closed,"Credit card debt, harassment calls to workplace."
1100,Faizal Osman,S3811837H,,Blk 380 Toa Payoh Lor 1 #13-036,82227452,faizal.osman@example.com,Retired,,Walk-in,Tenancy,Closed,"Aircon and water heater broken 3 months, landlord ignores."
1101,Josephine Fernandez,T8917007J,14-Feb-79,Blk 147 Telok Blangah Cres #08-082,89268191,josephine.fernandez@example.com,Self-employed,,Previous client,Tenancy,Closed,"Rental arrears dispute, landlord changed the lock."
1102,Nurul Ibrahim,S2375514H,1959-03-24,Blk 51 Telok Blangah Cres #11-165,84067566,nurul.ibrahim@example.com,Student,4200,Walk-in,Employment,Closed,"Unpaid overtime, foreign worker, worried about pass status."
1103,Danial Latiff,S3014822F,1995-10-04,Blk 613 Clementi Ave 4 #13-251,88802174,danial.latiff@example.com,Employed,3800,Google,Neighbour disputes,Closed,"Noise from upstairs unit, nightly, HDB."
1104,Hui Ling Lim,S6300367A,1996-02-15,Blk 351 Bishan St 12 #07-156,81696999,hui.lim@example.com,Unemployed,4200,Friend,Consumer debt,Closed,"Bought faulty phone, shop refuses refund."
1105,Priya Nair,S9996689C,1971-06-16,Blk 637 Toa Payoh Lor 1 #07-240,89537118,priya.nair@example.com,Student,,Facebook,Small claims,Closed,"Neighbour's contractor damaged wall, refuses to pay."
1106,Shu Fen Ng,T4105781D,2002-09-21,Blk 2 Toa Payoh Lor 1 #17-206,85514358,shu.ng@example.com,Retired,"$3,200",Community centre,Tenancy,Closed,"Sub-tenant, main tenant vanished, agent demanding rent."
1107,Jia Hao Lee,S0487014J,1970-10-27,Blk 43 Dover Rd #08-259,82717006,jia.lee@example.com,Retired,0,Friend,Tenancy,Closed,Landlord withholding deposit. Verbal tenancy only.
1108,Kok Wai Wong,T3374234G,27/2/1966,Blk 250 Bishan St 12 #02-263,86757074,kok.wong@example.com,Retired,n/a,,Employment,Closed,Dismissed after raising a safety complaint. Has messages.
1109,Mei Ling Goh,T4429492J,1982-07-25,Blk 3 Jurong West St 52 #10-253,89253209,mei.goh@example.com,Self-employed,3000,Family Service Centre,Employment,Open,Dismissed after raising a safety complaint. Has messages.
1110,Mei Ling Goh,S2865742Z,22-May-96,Blk 106 Tampines St 41 #12-028,81446746,mei.goh@example.com,Unemployed,"$3,200",,Consumer debt,Open,"Guarantor for a friend's loan, friend defaulted."
1111,Pei Shan Sim,S8710180C,2003-12-17,Blk 205 Jurong West St 52 #13-124,88282212,pei.sim@example.com,Unemployed,3000,Family Service Centre,Neighbour disputes,Closed,"Noise from upstairs unit, nightly, HDB."
1112,Shu Fen Ng,T3637116D,14-Nov-85,Blk 569 Woodlands Dr 50 #18-129,88040890,shu.ng@example.com,Employed,"$1,800",,Consumer debt,Open,"Credit card debt, harassment calls to workplace."
1113,Anand Rajan,T4007061C,2/5/1967,Blk 3 Dover Rd #16-225,83144912,anand.rajan@example.com,Retired,2200,Family Service Centre,Small claims,Closed,"Online purchase never delivered, seller unreachable."
1114,Elaine Pereira,S1923097D,3/7/1956,Blk 480 Jurong West St 52 #05-107,85113665,elaine.pereira@example.com,Part-time,3000,Previous client,Small claims,Open,"Car workshop overcharged, poor repair."
1115,Yong Sheng Chua,T6340147G,1978-11-14,Blk 446 Tampines St 41 #08-012,87897815,yong.chua@example.com,Unemployed,"$1,800",,Tenancy,Open,"Aircon and water heater broken 3 months, landlord ignores."
1116,Vijay Iyer,T1343997D,1968-11-10,Blk 88 Bedok Nth Rd #20-175,87565801,vijay.iyer@example.com,Employed,unknown,,Consumer debt,Closed,"Renovation contractor took deposit, work not done."
1117,Siti Hassan,T0790361A,2000-12-25,Blk 374 Jurong West St 52 #17-129,85298499,siti.hassan@example.com,Part-time,"$2,500",Walk-in,Tenancy,Closed,"Sub-tenant, main tenant vanished, agent demanding rent."
1118,Chin Hock Teo,S4958752C,10-Aug-97,Blk 431 Toa Payoh Lor 1 #06-051,81808722,chin.teo@example.com,Retired,4200,,Employment,Closed,"Injured at work, no MC paid. Small firm, no HR."
1119,Shu Fen Ng,S4825364I,18/10/1977,Blk 553 Tampines St 41 #14-208,83493132,shu.ng@example.com,Unemployed,"$3,200",Google,Tenancy,Closed,"Eviction notice, 1 week given. Family with young children."
1120,Chin Hock Teo,S4070904F,1968-10-23,Blk 330 Tampines St 41 #08-243,86263197,chin.teo@example.com,Employed,2600,Friend,Employment,Closed,"Unpaid overtime, foreign worker, worried about pass status."
1121,Zhi Hao Koh,S5762292C,1977-10-23,Blk 327 Ang Mo Kio Ave 3 #17-187,81991795,zhi.koh@example.com,Self-employed,0,Facebook,Tenancy,Closed,Landlord withholding deposit. Verbal tenancy only.
1122,Bernard Tham,S9579861Z,23/1/1981,Blk 568 Dover Rd #03-079,86409047,bernard.tham@example.com,Employed,2600,Facebook,Unassigned,Closed,Not sure we can help - flag for manager.
1123,Zhi Hao Koh,T4005469H,1972-03-04,Blk 99 Clementi Ave 4 #18-098,86232594,zhi.koh@example.com,Student,,Family Service Centre,Tenancy,Closed,"Sub-tenant, main tenant vanished, agent demanding rent."
1124,Danial Latiff,T5847789B,1969-05-01,Blk 402 Bishan St 12 #03-234,85790318,danial.latiff@example.com,Student,4200,Previous client,Small claims,Closed,"Online purchase never delivered, seller unreachable."
1125,Mei Ling Goh,S1138586B,2-May-90,Blk 530 Tampines St 41 #04-273,82889949,mei.goh@example.com,Employed,,Walk-in,Employment,Closed,"Injured at work, no MC paid. Small firm, no HR."
1126,Shu Fen Ng,S9217373C,1996-09-26,Blk 592 Toa Payoh Lor 1 #02-007,84691247,shu.ng@example.com,Part-time,"$1,800",Previous client,Consumer debt,Open,"Guarantor for a friend's loan, friend defaulted."
1127,Suresh Kumar,S2433205J,5-Dec-01,Blk 650 Bishan St 12 #07-243,86390602,suresh.kumar@example.com,Unemployed,,,Tenancy,Open,"Eviction notice, 1 week given. Family with young children."
1128,Shu Fen Ng,T6462670G,9-May-92,Blk 691 Telok Blangah Cres #04-129,84128494,shu.ng@example.com,Part-time,2600,Friend,Small claims,Open,"Car workshop overcharged, poor repair."
1129,Iskandar Salleh,T0067961C,1971-01-04,Blk 624 Tampines St 41 #19-169,87531691,iskandar.salleh@example.com,Self-employed,,Facebook,Unassigned,Open,"Immigration question - out of scope, note for records."
1130,Yong Sheng Chua,T9373701C,1957-03-07,Blk 231 Yishun Ring Rd #14-084,87106318,yong.chua@example.com,Part-time,,Friend,Employment,Open,Claims constructive dismissal. Wants to know options.
1131,Zhi Hao Koh,S3621025A,1957-10-04,Blk 185 Ang Mo Kio Ave 3 #16-058,88331348,zhi.koh@example.com,Self-employed,4200,Friend,Tenancy,Open,"Eviction notice, 1 week given. Family with young children."
1132,Ravi Das,S6074090G,14-Jan-76,Blk 602 Yishun Ring Rd #11-278,85797641,ravi.das@example.com,Part-time,3200,,Neighbour disputes,Closed,"Shared corridor blocked with items, fire hazard."
1133,Aishah Rahman,T4443126E,4/5/2003,Blk 124 Hougang Ave 8 #15-186,85653524,aishah.rahman@example.com,Self-employed,unknown,Friend,Wills and probate,Open,Needs LPA for elderly mother with dementia.
